date,rms,median,mean
2013-05-16 22:00:00,646.058042,7516.798520,7480.117435
2013-05-17 22:00:00,654.481399,7356.894301,7324.715424
2013-05-18 22:00:00,649.819409,7521.080753,7470.591890
2012-12-04 23:00:00,1563.419985,8300.997242,7984.751526
2012-12-08 23:00:00,1520.582995,8022.579000,7724.313113
2013-01-07 23:00:00,1498.529483,7748.049303,7452.611445
2013-01-11 23:00:00,1536.636159,7707.708684,7448.210228
2013-01-12 23:00:00,1520.487968,7793.410667,7504.338708
2013-01-13 23:00:00,1513.330051,7750.845802,7465.872499
2013-01-14 23:00:00,1497.495127,7669.809393,7379.524315
2013-01-15 23:00:00,1472.103596,7528.153194,7249.817902
2013-01-17 23:00:00,1469.106986,7495.655364,7217.509851
2013-01-18 23:00:00,1488.036024,7408.068071,7152.836664
2013-01-19 23:00:00,1475.694486,7532.093868,7249.764677
2013-01-20 23:00:00,1483.492946,7581.176529,7299.713749
2013-01-22 23:00:00,1548.774858,7927.644423,7632.674226
2013-01-23 23:00:00,1514.615155,7742.113525,7452.771139
2013-01-24 23:00:00,1516.589849,7745.112524,7456.601587
2013-01-28 23:00:00,459.747482,7498.890462,7475.915004
2013-01-30 23:00:00,456.887642,7658.068755,7637.527613
2013-06-06 22:00:00,652.301971,7545.258706,7498.001709
2013-06-07 22:00:00,655.444527,7547.494591,7507.066632
2013-06-08 22:00:00,713.087077,7385.830815,7363.185295
2013-06-09 22:00:00,631.027712,7250.971960,7215.458358
2013-06-10 22:00:00,654.101353,7520.715074,7477.801642
2013-06-11 22:00:00,648.345790,7454.965475,7413.328283
2013-06-12 22:00:00,644.731585,7375.320354,7331.850836
2013-06-13 22:00:00,651.748689,7404.710737,7362.068011
2013-06-14 22:00:00,646.513481,7312.681548,7276.042267
2013-06-15 22:00:00,644.124502,7277.642479,7240.830299
2013-06-16 22:00:00,646.543077,7244.243277,7207.012355
2013-06-17 22:00:00,652.227180,7265.627886,7221.715408
2013-06-18 22:00:00,658.638701,7361.501893,7314.012052
2013-06-19 22:00:00,734.336525,7347.752208,7333.522427
2013-06-20 22:00:00,736.399097,7393.380615,7366.165403
2013-06-25 22:00:00,670.964426,7371.363703,7324.265576
2013-05-19 22:00:00,653.781631,7546.185287,7501.552456
2013-05-20 22:00:00,680.759250,7592.887451,7552.558514
2013-05-21 22:00:00,589.621255,6819.209519,6781.580709
2013-05-22 22:00:00,655.242740,7557.530401,7512.411997
2013-05-26 22:00:00,675.012203,7668.723094,7618.829463
2013-05-27 22:00:00,660.428885,7618.215179,7571.780386
2013-05-28 22:00:00,660.749874,7577.190786,7521.880311
2013-05-29 22:00:00,651.946795,7547.972007,7500.563828
2013-05-30 22:00:00,654.098840,7595.957191,7553.619310
2013-05-31 22:00:00,652.765220,7571.926521,7517.607579
