date,rms,median,mean
2013-04-13 22:00:00,2.042251,10005.283040,10004.824390
2013-04-14 22:00:00,2.187308,10005.340039,10004.834148
2013-04-15 22:00:00,138.903469,10004.362549,9988.338954
2013-04-16 22:00:00,269.078710,10003.922092,9934.253166
2013-04-17 22:00:00,279.071844,10003.566623,9930.657750
2013-04-18 22:00:00,680.332109,10002.166829,9656.060347
2013-04-19 22:00:00,2.152850,10004.850098,10004.381851
2013-04-21 22:00:00,2.274857,10001.566732,10001.239302
2013-04-22 22:00:00,2.292286,10001.799805,10001.508683
2013-04-27 22:00:00,267.196466,10004.274902,9975.028436
2013-04-28 22:00:00,230.582381,10003.779883,9976.465402
2013-04-29 22:00:00,2.119735,10005.259961,10004.872302
2013-04-30 22:00:00,44.402703,10003.971540,10002.349152
2013-05-01 22:00:00,125.057728,10004.842913,9993.532344
2013-05-02 22:00:00,136.597991,10005.316732,9993.607545
2013-05-03 22:00:00,116.858443,10004.871233,9994.812823
2013-05-04 22:00:00,109.307683,10005.125000,9995.260349
2013-05-05 22:00:00,128.271529,10005.622287,9990.202650
2013-05-06 22:00:00,59.591600,10003.500000,9999.986046
2013-05-07 22:00:00,170.711418,10005.666667,9987.577684
2013-05-08 22:00:00,50.605715,10005.166732,10001.009638
2013-05-09 22:00:00,31.035617,10005.300000,10003.945930
2013-05-10 22:00:00,113.673844,10005.388997,9993.166194
2013-05-11 22:00:00,122.101208,10005.150024,9992.635350
2013-05-12 22:00:00,205.603953,10006.200000,9992.052990
2013-05-13 22:00:00,82.336365,9999.127875,9992.208824
2013-05-14 22:00:00,89.049699,9998.016764,9988.379128
2013-05-15 22:00:00,1.476376,10002.042829,10001.896867
2013-05-16 22:00:00,2.253627,10003.580078,10003.333804
2013-05-17 22:00:00,523.955707,10002.940234,9854.528773
2013-05-18 22:00:00,77.520533,10001.500244,9998.906755
2013-05-19 22:00:00,753.119159,10001.000000,9748.744200
2013-05-20 22:00:00,146.057084,10002.433268,9995.689125
2013-05-21 22:00:00,2.165965,10003.500244,10003.221698
2013-05-22 22:00:00,155.008712,10002.649902,9997.466952
2013-05-26 22:00:00,2.070334,10005.324951,10004.856285
2013-05-27 22:00:00,155.001055,10003.400146,9993.403362
2013-05-28 22:00:00,247.367658,10004.679883,9981.076246
2013-05-29 22:00:00,173.160679,10004.925049,9992.461478
2013-05-30 22:00:00,0.975084,9997.677626,9997.632265
2013-05-31 22:00:00,99.034880,10004.585798,9997.373542
2013-06-01 22:00:00,94.813765,10005.187622,9997.495594
2013-06-02 22:00:00,116.878068,10003.728795,9993.858899
2013-06-03 22:00:00,124.908683,10005.028739,9993.743094
2013-06-04 22:00:00,36.646646,10005.066813,10003.137891
2013-06-05 22:00:00,2.086966,10005.055556,10004.763209
2013-06-06 22:00:00,87.692991,10005.140039,10000.846390
2013-06-07 22:00:00,73.054318,10005.016602,10001.501847
2013-06-08 22:00:00,51.717481,10005.499837,10003.459867
2013-06-09 22:00:00,62.140048,10005.479883,10003.214188
2013-06-10 22:00:00,2.118804,10005.214286,10004.882569
2013-06-11 22:00:00,2.117464,10005.199916,10004.798091
2013-06-12 22:00:00,2.042981,10005.137329,10004.820922
2013-06-13 22:00:00,62.671308,10003.685686,10000.623719
2013-06-14 22:00:00,62.678633,10003.614258,10000.486644
2013-06-15 22:00:00,116.973114,10002.528739,9992.743367
2013-06-16 22:00:00,554.799374,10000.300223,9816.290415
2013-06-17 22:00:00,1336.844550,8335.899902,8581.263106
2013-06-18 22:00:00,146.086944,10002.599935,9995.860263
2013-06-19 22:00:00,146.106496,10003.599935,9996.763513
2013-06-20 22:00:00,103.337790,10002.166667,9998.674534
2013-06-25 22:00:00,2.104326,10004.700195,10004.328234
2013-06-26 22:00:00,0.640108,9998.750000,9998.717952
2013-06-27 22:00:00,2.169294,10004.500195,10004.135111
2013-06-28 22:00:00,44.331812,10003.685686,10001.999769
2013-06-29 22:00:00,87.661903,10003.179883,9998.975941
2013-06-30 22:00:00,62.015174,10004.740039,10002.497809
2013-07-01 22:00:00,2.128870,10004.722222,10004.297420
2013-07-02 22:00:00,38.846865,10004.049927,10002.474305
2013-07-03 22:00:00,48.706940,10004.277778,10001.812997
2013-07-04 22:00:00,62.177652,10004.659961,10002.362823
2013-07-05 22:00:00,195.339256,10005.079883,9985.466368
2013-07-06 22:00:00,2.156752,10005.128627,10004.733165
2013-07-07 22:00:00,2.231510,10004.377713,10004.039075
2013-07-08 22:00:00,44.328181,10003.942801,10002.277010
2013-07-09 22:00:00,31.019211,10004.609961,10003.234034
2013-07-10 22:00:00,2.126935,10004.862549,10004.394936
2013-07-11 22:00:00,2.197402,10005.216634,10004.835069
2013-07-12 22:00:00,34.602418,10005.011068,10003.631002
2013-07-13 22:00:00,2.154954,10005.100098,10004.740708
2013-07-14 22:00:00,2.109817,10005.233398,10004.752178
2013-07-25 22:00:00,2.192765,10003.259961,10002.849852
2013-07-26 22:00:00,62.061987,10002.260156,10000.056223
2013-07-27 22:00:00,2.240491,10003.524902,10002.977342
2013-07-28 22:00:00,2.043172,10004.860156,10004.457403
2013-07-15 22:00:00,766.568264,10000.780078,9649.380297
2013-07-16 22:00:00,996.359238,9996.639844,9079.448544
2013-07-17 22:00:00,873.108400,7500.799805,7294.119130
2013-07-18 22:00:00,291.208914,10001.533203,9975.722915
2013-07-19 22:00:00,991.237717,10000.933268,9673.975328
2013-07-29 22:00:00,62.104734,10003.980078,10001.763856
2013-07-30 22:00:00,88.705268,10004.414342,10001.257543
2013-07-31 22:00:00,48.806053,10004.566623,10002.199327
